id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Neon Pulse,Circuit Breaker,edm,intense,0.95,140,0.72,0.91,0.04
12,Rainy Window,Hollow Pine,acoustic,sad,0.22,65,0.38,0.30,0.97
13,Velvet Underground,The Groove Sect,funk,happy,0.78,108,0.88,0.90,0.20
14,Desert Highway,Red Dust,country,relaxed,0.50,95,0.74,0.55,0.80
15,Broken Clocks,Static Haze,alternative,moody,0.68,105,0.40,0.58,0.30
16,Sakura Rain,Yuki Tanaka,classical,calm,0.18,72,0.70,0.25,0.99
17,Bass Drop City,DJ Phantom,edm,intense,0.97,145,0.60,0.95,0.02
18,Porch Swing Blues,Earl Cotton,blues,sad,0.33,85,0.45,0.42,0.88
19,Golden Hour,Indigo Parade,indie pop,happy,0.71,116,0.85,0.78,0.40
20,Iron Will,Voltline,metal,intense,0.96,168,0.30,0.60,0.05
